element_no,element_name,xml_tag_name,data_constraint
1,Title IV-E Agency,E1_title_iv_agency,State agencies: 2-digit state FIPS code; Tribal agencies: 3-digit EPA Tribal standard code
2,Report Date,E2_report_date,YYYYMM
3,Local Agency,E3_local_agency,"5-digit state and county FIPS code, or, if unknown, two-digit state code plus ""999"""
4,Child Record Number,E4_child_record_number,"Encrypted (by ACF Standards), unique within title IV-E agency"
5,Child's Date of Birth,E5_date_of_birth,YYYYMMDD
6,Child's Sex,E6_sex,1 = Male; 2 = Female
7,Agency Made Inquiries,E7_agency_made_inquiries,0 = No; 1 = Yes; Null should only be used by tribal title IV-E agencies
8,Child's Tribal Membership,E8_tribal_membership,0 = No; 1 = Yes; 9 = Unknown; Null should only be used by tribal agencies
9,Federally Recognized Tribe,E9_recognized_tribes,3-digit EPA Tribal standard code; Null should be used if element 8 = 0 or 9; Null should be used by tribal agencies
10,Application of ICWA,E10_icwa,0 = No; 1 = Yes; 9 = Unknown; Null should only be used by tribal agencies
11,Date of Determination that ICWA Applies,E11_icwa_date,YYYYMMDD; Null should be used if element 10 = 0 or 9; Null should be used by tribal agencies
12,Notification ICWA,E12_icwa_notification,0 = No; 1 = Yes; Null should be used if element 10 = 0 or 9; Null should be used by Tribal agencies
13,Child's Race: American Indian or Alaska Native,E13_child_race_american_indian_alaska_native,0 = No; 1 = Yes
14,Child's Race: Asian,E14_child_race_asian,0 = No; 1 = Yes
15,Child's Race: Black or African American,E15_child_race_black,0 = No; 1 = Yes
16,Child's Race: Native Hawaiian or Other Pacific Islander,E16_child_race_native_hawaiian_pacific_islander,0 = No; 1 = Yes
17,Child's Race: White,E17_child_race_white,0 = No; 1 = Yes
18,Child's Race: Unknown,E18_child_race_unknown,0 = No; 1 = Yes
19,Child's Race: Abandoned,E19_child_race_abandoned,0 = No; 1 = Yes
20,Child's Race: Declined,E20_child_race_declined,0 = No; 1 = Yes
21,Child's Hispanic or Latino Origin,E21_child_hispanic_latino,0 = No; 1 = Yes; 7 = Abandoned; 8 = Declined; 9 = Unknown
22,Health Assessment,E22_health_assessment,0 = No; 1 = Yes
23,Health Conditions,E23_health_conditions,0 = No exam or assessment conducted; 1 = Child has a diagnosed condition; 2 = Exam or assessment conducted and none of the conditions apply; 3 = Exam or assessment conducted but results not received
24,Intellectual Disability,E24_health_intellectual_disability,0 = Does not apply; 1 = Existing condition; 2 = Previous condition; Null if child does not have a diagnosed condition
25,Autism Spectrum Disorder,E25_health_autism_spectrum_disorder,0 = Does not apply; 1 = Existing condition; 2 = Previous condition; Null if child does not have a diagnosed condition
26,Visual Impairment and Blindness,E26_health_visual_impairment,0 = Does not apply; 1 = Existing condition; 2 = Previous condition; Null if child does not have a diagnosed condition
27,Hearing Impairment and Deafness,E27_health_hearing_impairment,0 = Does not apply; 1 = Existing condition; 2 = Previous condition; Null if child does not have a diagnosed condition
28,Orthopedic Impairment or Other Physical Condition,E28_health_orthopedic_impairment,0 = Does not apply; 1 = Existing condition; 2 = Previous condition; Null if child does not have a diagnosed condition
29,Mental/Emotional Disorders,E29_health_mental_disorder,0 = Does not apply; 1 = Existing condition; 2 = Previous condition; Null if child does not have a diagnosed condition
30,Attention Deficit Hyperactivity Disorder,E30_health_adhd_add,0 = Does not apply; 1 = Existing condition; 2 = Previous condition; Null if child does not have a diagnosed condition
31,Serious Mental Disorders,E31_health_serious_mental_disorder,0 = Does not apply; 1 = Existing condition; 2 = Previous condition; Null if child does not have a diagnosed condition
32,Developmental Delay,E32_health_developmental_delay,0 = Does not apply; 1 = Existing condition; 2 = Previous condition; Null if child does not have a diagnosed condition
